19930,Superior Group of Companies' (SGC) CEO Michael Benstock on Q1 2020 Results - Earnings Call Transcript,2020-05-01 10:39:00,SGC,"Superior Group of Companies, Inc.",SA Transcripts,https://seekingalpha.com/article/4341947-superior-group-of-companies-sgc-ceo-michael-benstock-on-q1-2020-results-earnings-call
19929,"Orion Group Holdings, Inc. (ORN) CEO Mark Stauffer on Q1 2020 Results - Earnings Call Transcript",2020-05-01 10:34:00,ORN,"Orion Group Holdings, Inc.",SA Transcripts,https://seekingalpha.com/article/4341945-orion-group-holdings-inc-orn-ceo-mark-stauffer-on-q1-2020-results-earnings-call-transcript
19928,Endurance International Group's (EIGI) CEO Jeff Fox on Q1 2020 Results - Earnings Call Transcript,2020-05-01 09:21:00,EIGI,"Endurance International Group Holdings, Inc.",SA Transcripts,https://seekingalpha.com/article/4341926-endurance-international-groups-eigi-ceo-jeff-fox-on-q1-2020-results-earnings-call-transcript
19927,Orsted A/S (DNNGY) CEO Henrik Poulsen on Q1 2020 Results - Earnings Call Transcript,2020-05-01 08:53:00,DNNGY,Ørsted A/S,SA Transcripts,https://seekingalpha.com/article/4341910-orsted-s-dnngy-ceo-henrik-poulsen-on-q1-2020-results-earnings-call-transcript
19926,MTU Aero Engines AG's (MTUAF) CEO Reiner Winkler on Q1 2020 Results - Earnings Call Transcript,2020-05-01 08:51:00,MTUAF,MTU Aero Engines AG,SA Transcripts,https://seekingalpha.com/article/4341905-mtu-aero-engines-ags-mtuaf-ceo-reiner-winkler-on-q1-2020-results-earnings-call-transcript
19925,"Great Western Bancorp, Inc. (GWB) CEO Mark Borrecco on Q2 2020 Results - Earnings Call Transcript",2020-05-01 08:31:00,GWB,"Great Western Bancorp, Inc.",SA Transcripts,https://seekingalpha.com/article/4341901-great-western-bancorp-inc-gwb-ceo-mark-borrecco-on-q2-2020-results-earnings-call-transcript
19924,Brunswick Corporation (BC) CEO Dave Foulkes on Q1 2020 Results - Earnings Call Transcript,2020-05-01 08:27:00,BC,Brunswick Corporation,SA Transcripts,https://seekingalpha.com/article/4341898-brunswick-corporation-bc-ceo-dave-foulkes-on-q1-2020-results-earnings-call-transcript
19923,"Vista Oil & Gas, S.A.B. de C.V.'s (VIST) CEO Miguel Galuccio on Q1 2020 Results - Earnings Call Transcript",2020-05-01 07:44:00,VIST,"Vista Oil & Gas, S.A.B. de C.V.",SA Transcripts,https://seekingalpha.com/article/4341881-vista-oil-gas-s-b-de-c-v-s-vist-ceo-miguel-galuccio-on-q1-2020-results-earnings-call
19922,Raymond James Financial's (RJF) CEO Paul Reilly on Q2 2020 Results - Earnings Call Transcript,2020-05-01 07:30:00,RJF,"Raymond James Financial, Inc.",SA Transcripts,https://seekingalpha.com/article/4341878-raymond-james-financials-rjf-ceo-paul-reilly-on-q2-2020-results-earnings-call-transcript
19921,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V. (PAC) CEO Raul Revuelta on Q1 2020 Results - Earnings Call Transcript",2020-05-01 07:30:00,PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",SA Transcripts,https://seekingalpha.com/article/4341877-grupo-aeroportuario-del-pacifico-s-b-de-c-v-pac-ceo-raul-revuelta-on-q1-2020-results-earnings
